איזור גידול,סוג חלקה,אורגני,מספר חלקה ,מספר חלקה מפורט,_id,שם חלקת אם,שם חלקה מפורט,שטח ברוטו (דונם),מגוף השקייה,מקור מים,דונם לגידול שלחין,type,דוררת,גרב אבקי,אבנים,רגישות לקרה,חיטוי אדיגן
משמר הנגב,שלחין,רגיל,2009,2009-1,2009-1,9 דרום,9 - 1 דרום,95,191,מאגר רהט,95,plot,,,,,
משמר הנגב,שלחין,רגיל,2009,2009-2,2009-2,9 דרום,9 - 2 דרום,63,192,מאגר רהט,63,plot,,,,,
משמר הנגב,שלחין,רגיל,2209,2209-1,2209-1,9 צפון,9 - 1 צפון,133,191,מאגר רהט,133,plot,,,,,
משמר הנגב,שלחין,רגיל,2209,2209-2,2209-2,9 צפון,9 - 2 צפון,112,192,מאגר רהט,112,plot,,,,,
משמר הנגב,שלחין,רגיל,2026,2026-1,2026-1--1,א-ב,א-ב - 1,64,101,מאגר רהט,64,plot,,,,,
משמר הנגב,שלחין,רגיל,2026,2026-2,2026-2--1,א-ב,א-ב - 2,61,102,מאגר רהט,61,plot,,,,,
משמר הנגב,שלחין,רגיל,2026,2026-1,2026-1--2,א-ב,א-ב - 1,63,101,מאגר רהט,63,plot,,,,,
משמר הנגב,שלחין,רגיל,2026,2026-2,2026-2--2,א-ב,א-ב - 2,64,102,מאגר רהט,64,plot,,,,,
בית קמה,שלחין,אורגני,101,101,101,אבוקדו,אבוקדו,147,60,"שפד""ן בית קמה",130,plot,,,,,
בית קמה,שלחין,רגיל,183,183-1,183-1,ארגנטינה,ארגנטינה - 1,93,71,"שפד""ן בית קמה",93,plot,,,,,
בית קמה,שלחין,רגיל,183,183-2,183-2,ארגנטינה,ארגנטינה - 2,92,72,"שפד""ן בית קמה",92,plot,,,,,
בית קמה,שלחין,רגיל,183,183-3,183-3,ארגנטינה,ארגנטינה - 3,76,73,"שפד""ן בית קמה",76,plot,,,,,
בית קמה,פלחה,רגיל,102,102,102-1,בין הכבישים,בין הכבישים,134,,,134,plot,,,,,
בית קמה,פלחה,רגיל,102,102,102-2,בין הכבישים,בין הכבישים,17,,,17,plot,,,,,
בית קמה,פלחה,רגיל,102,102,102-3,בין הכבישים,בין הכבישים,12,,,12,plot,,,,,
בית קמה,פלחה,רגיל,105,105,105,בית אלפא 1,בית אלפא 1,334,,,334,plot,,,,,
בית קמה,פלחה,רגיל,106,106,106,בית אלפא 2,בית אלפא 2,253,,,253,plot,,,,,
בית קמה,פלחה,רגיל,107,107,107,בית אלפא 3,בית אלפא 3,480,,,480,plot,,,,,
בית קמה,פלחה,רגיל,108,108,108,בית אלפא 4,בית אלפא 4,117,,,117,plot,,,,,
בית קמה,פלחה,רגיל,109,109,109,בית ספר,בית ספר,31,,,31,plot,,,,,
בית קמה,שלחין,רגיל,184,184-1,184-1,ברזיל,ברזיל - 1,112,71,"שפד""ן בית קמה",112,plot,,,,,
בית קמה,שלחין,רגיל,184,184-2,184-2,ברזיל,ברזיל - 2,119,72,"שפד""ן בית קמה",119,plot,,,,,
בית קמה,שלחין,רגיל,110,110,110,בריכה דרום,בריכה דרום,38,1,"שפד""ן בית קמה",38,plot,,,,,
בית קמה,שלחין,רגיל,111,111-1,111-1,בריכה מזרח,בריכה מזרח - 1,72,1,"שפד""ן בית קמה",72,plot,,,,,
בית קמה,שלחין,רגיל,111,111-2,111-2,בריכה מזרח,בריכה מזרח - 2,64,2,"שפד""ן בית קמה",64,plot,,,,,
בית קמה,שלחין,רגיל,113,113-1,113-1,בריכה מערב,בריכה מערב - 1,63,1,"שפד""ן בית קמה",63,plot,,,,,
בית קמה,שלחין,רגיל,113,113-2,113-2,בריכה מערב,בריכה מערב - 2,76,2,"שפד""ן בית קמה",76,plot,,,,,
בית קמה,שלחין,רגיל,112,112-1,112-1,בריכה מרכז,בריכה מרכז - 1,95,1,"שפד""ן בית קמה",95,plot,,,,,
בית קמה,שלחין,רגיל,112,112-2,112-2,בריכה מרכז,בריכה מרכז - 2,89,2,"שפד""ן בית קמה",89,plot,,,,,
בית קמה,פלחה,רגיל,114,114-11,114-11,בריכה פלחה,בריכה פלחה,28,,,28,plot,,,,,
מיגדה,שלחין,רגיל,1051,1051-1,1051-1,גדול דרום,גדול דרום - 1,116,111,"שפד""ן מיגדה",116,plot,,,,,
מיגדה,שלחין,רגיל,1051,1051-2,1051-2,גדול דרום,גדול דרום - 2,123,112,"שפד""ן מיגדה",123,plot,,,,,
מיגדה,שלחין,רגיל,1053,1053-1,1053-1,גדול מרכז,גדול מרכז - 1,109,111,"שפד""ן מיגדה",109,plot,,,,,
מיגדה,שלחין,רגיל,1053,1053-2,1053-2,גדול מרכז,גדול מרכז - 2,105,112,"שפד""ן מיגדה",105,plot,,,,,
מיגדה,שלחין,רגיל,1053,1053-3,1053-3,גדול מרכז,גדול מרכז - 3,33,113,"שפד""ן מיגדה",33,plot,,,,,
מיגדה,שלחין,רגיל,1054,1054-1,1054-1,גדול צפון,גדול צפון - 1,83,111,"שפד""ן מיגדה",83,plot,,,,,
מיגדה,שלחין,רגיל,1054,1054-2,1054-2,גדול צפון,גדול צפון - 2,97,112,"שפד""ן מיגדה",97,plot,,,,,
מיגדה,שלחין,רגיל,1054,1054-3,1054-3,גדול צפון,גדול צפון - 3,77,113,"שפד""ן מיגדה",77,plot,,,,,
מיגדה,שלחין,רגיל,1050,1050-1,1050-1,ואדי,ואדי - 1,43,112,"שפד""ן מיגדה",43,plot,,,,,
מיגדה,שלחין,רגיל,1050,1050-2,1050-2,ואדי,ואדי - 2,80,114,"שפד""ן מיגדה",80,plot,,,,,
מיגדה,שלחין,רגיל,1050,1050-3,1050-3,ואדי,ואדי - 3,81,115,"שפד""ן מיגדה",81,plot,,,,,
בית קמה,פלחה,רגיל,115,115,115-1,ואדיות 1,ואדיות 1,393,,,393,plot,,,,,
בית קמה,פלחה,רגיל,115,115,115-2,ואדיות 1,ואדיות 1,71,,,71,plot,,,,,
בית קמה,פלחה,רגיל,115,115,115-3,ואדיות 1,ואדיות 1,39,,,39,plot,,,,,
בית קמה,פלחה,רגיל,116,116,116,ואדיות 2,ואדיות 2,60,,,60,plot,,,,,
בית קמה,פלחה,רגיל,117,117,117,ואדיות 3,ואדיות 3,235,,,235,plot,,,,,
משמר הנגב,שלחין,אורגני,2037,2037,2037,זיתים,זיתים,70,206,קידוח משמר הנגב,64,plot,,,,,
בית קמה,מטעים,אורגני,311,311,311,חוחובה 2011,מצבה צפון - 2,70,,ביוב בית קמה,70,plot,,,,,
בית קמה,מטעים,אורגני,312,312,312,חוחובה 2012,מצבה צפון - 2,72,,ביוב בית קמה,72,plot,,,,,
בית קמה,מטעים,רגיל,315,315,315,חוחובה 2015,חוחובה 2015,494,,"שפד""ן בית קמה",494,plot,,,,,
בית קמה,מטעים,רגיל,316,316,316,חוחובה 2016,חוחובה 2016,508,,"שפד""ן בית קמה",508,plot,,,,,
בית קמה,שלחין,רגיל,120,120-1,120-1--1,טורקיה 1-2,טורקיה - 1,54,31,"שפד""ן בית קמה",54,plot,,,,,
בית קמה,שלחין,רגיל,120,120-2,120-2--1,טורקיה 1-2,טורקיה - 2,57,32,"שפד""ן בית קמה",57,plot,,,,,
בית קמה,שלחין,רגיל,120,120-1,120-1--2,טורקיה 1-2,טורקיה - 1,93,31,"שפד""ן בית קמה",93,plot,,,,,
בית קמה,שלחין,רגיל,120,120-2,120-2--2,טורקיה 1-2,טורקיה - 2,92,32,"שפד""ן בית קמה",92,plot,,,,,
בית קמה,פלחה,רגיל,121,121-3,121-3,טורקיה 3-4 מזרח,טורקיה - 3 מזרח,85,,,85,plot,,,,,
בית קמה,פלחה,רגיל,121,121-4,121-4,טורקיה 3-4 מזרח,טורקיה - 4 מזרח,96,,,96,plot,,,,,
בית קמה,שלחין,רגיל,122,122-3,122-3,טורקיה 3-4 מערב,טורקיה - 3 מערב,48,33,"שפד""ן בית קמה",48,plot,,,,,
בית קמה,שלחין,רגיל,122,122-4,122-4,טורקיה 3-4 מערב,טורקיה - 4 מערב,49,34,"שפד""ן בית קמה",49,plot,,,,,
בית קמה,שלחין,רגיל,125,125-2,125-2,טקסס,טקסס - 2,111,32,"שפד""ן בית קמה",98,plot,,,,,
בית קמה,שלחין,רגיל,125,125-3,125-3,טקסס,טקסס - 3,103,33,"שפד""ן בית קמה",103,plot,,,,,
בית קמה,שלחין,רגיל,125,125-4,125-4,טקסס,טקסס - 4,113,34,"שפד""ן בית קמה",113,plot,,,,,
בית קמה,שלחין,אורגני,125-1,125-1,125-1,טקסס - 1,טקסס - 1,124,31,"שפד""ן בית קמה",116,plot,,,,,
בית קמה,שלחין,רגיל,129,129-1,129-1,ירדן,ירדן - 1,62,41,"שפד""ן בית קמה",62,plot,,,,,
בית קמה,שלחין,רגיל,129,129-2,129-2,ירדן,ירדן - 2,71,42,"שפד""ן בית קמה",71,plot,,,,,
בית קמה,שלחין,רגיל,129,129-3,129-3,ירדן,ירדן - 3,93,43,"שפד""ן בית קמה",93,plot,,,,,
